playlist_name,playlist_contributing_factor,song_ranking,playlist_heat,trackcount,playlist_playcount
纯音乐|学习工作放松安静减压,1010,192,3595.0,267,3260791
［学霸专用］工作看书刷题写作业纯音乐,1262,211,1676.0,854,3281482
写作业必备歌单（清新，醒脑，静心）,1017,579,3069.0,866,4578888
时间之外的往事-静心向「睡前/学习」,655,3,658.0,667,1153685
刷题背书轻音乐（致正在努力的你）,12127,226,24757.0,443,47007372
