playlist_name,contributing_factor,estimated_plays_contribution
【睡觉专用】适合晚上安静听的纯音乐,26253,701
「纯音乐」静心 学习 思考...,7845,209
|学习歌单| 用轻音乐抚慰浮躁的心.,5437,145
一个正经的写作业or复习歌单,4266,114
「轻音乐」让心静下来的雨声助眠,2869,77
高效助学｜用往日苦难铺垫梦想路,1568,42
静心休息 舒服纯音乐,156,4
高级感国纯 | 沉寂的繁星会在夜空泛起微光,125,3
时间之外的往事-静心向「睡前/学习」,92,2
钢琴独奏² | 似乎听见繁星正在坠落,67,2
安静的下午【读书专用歌单】,35,1
（纯音乐）日落归山海,20,1
【纯音乐】够了，哭累了，该睡了,1,0
钢琴 | 它们都有着独一无二的故事,0,0
