playlist_name,contributing_factor,estimated_plays_contribution
学习歌单‖极静轻音乐01,35244,988
写作业必备 纯音乐 浑浊的世间需要温柔,12100,339
刷题背书轻音乐（致正在努力的你）,12015,337
|学习歌单| 用轻音乐抚慰浮躁的心.,4126,116
[纯音乐]适合写作业时听的歌,1524,43
学习丨阅读丨刷题丨背书集中注意力轻音乐,1066,30
唯美治愈系『纯音乐』-放松心情必备,879,25
【高效学习&赶作业】纯音乐,864,24
写作业必备歌单（清新，醒脑，静心）,787,22
轻音乐|抄书写作业必备,168,5
静心学习「钢琴曲」,146,4
安静纯音乐「学习/阅读/午休」,106,3
高级感国纯 | 沉寂的繁星会在夜空泛起微光,77,2
时间之外的往事-静心向「睡前/学习」,76,2
学习歌单‖极静轻音乐01,47,1
「学习专用轻音乐」提升专注力 高效学习,36,1
【钢琴曲】献给你 以极致温柔,32,1
唯纯音，美食与爱不可辜负～,1,0
