playlist_name,contributing_factor,estimated_plays_contribution
【适合看书或睡觉前或失眠】收藏纯音乐,7657,326
缓解焦虑/午睡/学习/中高考/催眠曲/文理科,1931,82
静心学习「钢琴曲」,443,19
『纯音』夜晚独享安宁,394,17
沉溺，窒息之美纯音乐钢琴曲。,245,10
时间之外的往事-静心向「睡前/学习」,235,10
【适合看书或睡觉前或失眠】收藏纯音乐,26,1
【刷题】适合在写作业时听的音乐.,4,0
『纯音乐』深夜/助眠/轻缓,2,0
