playlist_name,playlist_contributing_factor,song_ranking,playlist_heat,trackcount,playlist_playcount
【适合看书或睡觉前或失眠】收藏纯音乐,7657,99,10289,387,17756226
缓解焦虑/午睡/学习/中高考/催眠曲/文理科,1931,91,3544,200,5166356
静心学习「钢琴曲」,443,156,959,290,1457485
『纯音』夜晚独享安宁,394,129,585,395,936199
沉溺，窒息之美纯音乐钢琴曲。,245,24,290,154,642593
时间之外的往事-静心向「睡前/学习」,235,429,658,667,1153685
【适合看书或睡觉前或失眠】收藏纯音乐,26,176,42,451,12397
【刷题】适合在写作业时听的音乐.,4,53,5,460,6441
『纯音乐』深夜/助眠/轻缓,2,660,22,738,34640
