playlist_name,playlist_contributing_factor,song_ranking,playlist_heat,trackcount,playlist_playcount
♥ 睡眠进阶丨深度睡眠，享受睡觉的乐趣,2082,180,2570,947,2161305
钢琴&轻音乐丨黑白键下的温柔,185,33,654,46,48075
「学习轻音乐」邂逅书海 静心独处,109,6,138,29,47290
纯音丨遇见你那天，樱花开满南山,41,46,664,49,58744
『纯音乐』深夜/助眠/轻缓,20,82,22,738,34640
适合练字时听的纯音乐,13,32,19,108,31561
【治愈系纯音】你值得被世界温柔以待,10,31,19,62,12180
轻音｜祝你好梦 陌生人,6,61,7,309,7966
