playlist_name,contributing_factor,estimated_plays_contribution
刷题背书轻音乐（致正在努力的你）,12574,717
「轻音乐」让心静下来的雨声助眠,3426,195
［自习室］果味苏打般学习体验,2448,140
「助眠轻音乐」无杂音舒适度°,2099,120
高效｜写作业必备氛围歌单,1806,103
【纯音】『适合做作业（或睡觉）的歌单』,1186,68
轻音助眠，你需要睡一个好觉,610,35
纯音/刷题/助眠/放松/安静/治愈,445,25
纯音乐-安静睡眠治愈收集,317,18
【休息/学习】我们都将成为更好的自己,269,15
蒲公英的约定 纯音乐,146,8
时间之外的往事-静心向「睡前/学习」,103,6
雨之喏・纯音 | 停云霭霭、时雨濛濛,50,3
杜绝瞌睡！学习也需要节奏感,37,2
「失眠焦虑者」纯音乐｜缓解压力｜助眠,2,0
「超助眠的轻音乐」安静、宁静°,0,0
钢琴 | 感受到孤独与平静,0,0
