歌单名称,播放量,歌单链接,用户名称,用户链接
听琴如修禅-巫娜古琴100首,1112万,https://music.163.com/#/playlist?id=88835828,一只大食猪,https://music.163.com/#/user/home?id=65359616
『古风』催泪剪辑常用BGM,1097万,https://music.163.com/#/playlist?id=2313063933,辞雀,https://music.163.com/#/user/home?id=67853143
「古风」人间有味是清欢 未妨惆怅是清狂,1086万,https://music.163.com/#/playlist?id=737417187,mayuko然,https://music.163.com/#/user/home?id=129593031
戏腔/古风歌曲--戏子多秋 可怜一处情深旧…,1068万,https://music.163.com/#/playlist?id=4955990649,ZB执笔,https://music.163.com/#/user/home?id=627765523
［戏腔］[古风] 戏子多秋 可怜一处情深旧,1064万,https://music.163.com/#/playlist?id=2568673678,小鱼小鱼小余,https://music.163.com/#/user/home?id=1611229012
「古风」这些古风歌词，惊艳了时光,1050万,https://music.163.com/#/playlist?id=907446361,鱼板烧好机智,https://music.163.com/#/user/home?id=84529447
〔满汉全席〕幸为满汉客,1031万,https://music.163.com/#/playlist?id=402266848,漓辞,https://music.163.com/#/user/home?id=110706964
古风精选 | 超好听的仙气中国风歌曲,975万,https://music.163.com/#/playlist?id=2870106565,飞行棋的猫mor,https://music.163.com/#/user/home?id=1478756408
古风精选 你眼中是江湖 我眼中是你,963万,https://music.163.com/#/playlist?id=2074681032,鹿白川,https://music.163.com/#/user/home?id=493707309
【超燃/节奏控】打游戏专用,945万,https://music.163.com/#/playlist?id=975446121,烟雨如胧,https://music.163.com/#/user/home?id=495623901
【古风戏腔】兰花指拈红尘似水,933万,https://music.163.com/#/playlist?id=2515958007,君子-可以欺之以方,https://music.163.com/#/user/home?id=1333998910
【你会后悔点开的古风歌单】,927万,https://music.163.com/#/playlist?id=2153080805,DERIDERI,https://music.163.com/#/user/home?id=1357075034
网易云那些评论过万的古风国风歌曲,918万,https://music.163.com/#/playlist?id=625841693,是阮阮阿,https://music.163.com/#/user/home?id=377790159
好想变成雪啊 这样就可以落在先生肩上了,911万,https://music.163.com/#/playlist?id=982705650,跨过凌晨,https://music.163.com/#/user/home?id=60689372
『古风』不解相思意，闲看窗外雨,900万,https://music.163.com/#/playlist?id=887338503,Abe晴明,https://music.163.com/#/user/home?id=292366539
超级好听的古风,895万,https://music.163.com/#/playlist?id=3087442322,你不敢承认的大哥,https://music.163.com/#/user/home?id=1655123153
惊艳的古风歌曲（含国风）,877万,https://music.163.com/#/playlist?id=1990134781,蓝鲸叫我照顾海,https://music.163.com/#/user/home?id=128544747
当古风邂逅小清新，惬意而行,860万,https://music.163.com/#/playlist?id=362664951,_予笙予词_,https://music.163.com/#/user/home?id=13060466
『戏腔』惊艳♛回眸一笑百媚生,860万,https://music.163.com/#/playlist?id=983821688,南舟迟,https://music.163.com/#/user/home?id=436123375
攻尽天下（节奏控的古风歌单）,846万,https://music.163.com/#/playlist?id=708924941,wifi隔壁的蓝牙,https://music.163.com/#/user/home?id=456244098
古风｜闲庭抚琴桃花酒，叶落似是故人归,845万,https://music.163.com/#/playlist?id=2767811922,子度-,https://music.163.com/#/user/home?id=495212781
姹紫嫣红看遍，鲜衣怒马少年。,843万,https://music.163.com/#/playlist?id=612106846,Colredsh,https://music.163.com/#/user/home?id=55261371
『古风』此生无悔入华夏，来世还在种花家,822万,https://music.163.com/#/playlist?id=507394056,聆颜-,https://music.163.com/#/user/home?id=257383072
「冷门古风」没听过的都是惊喜,818万,https://music.163.com/#/playlist?id=745922241,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
最是流年似旧曲，暮雨纷纷又清明,807万,https://music.163.com/#/playlist?id=2167335183,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
【古风】那些美哭的男男对唱,804万,https://music.163.com/#/playlist?id=94196803,端坐瘦马_自吟自话,https://music.163.com/#/user/home?id=32942961
梦也缓缓·精选百首古风,778万,https://music.163.com/#/playlist?id=161252962,公子无央,https://music.163.com/#/user/home?id=65987267
【戏腔】胡同巷，你水袖红妆青丝千丈,772万,https://music.163.com/#/playlist?id=321013221,Colredsh,https://music.163.com/#/user/home?id=55261371
古风 I 红烛多情化着泪 漫漫长夜摧伊人,750万,https://music.163.com/#/playlist?id=2100341581,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
古风国风精心收藏向（女神篇）,741万,https://music.163.com/#/playlist?id=545104490,你的网友铁锤哥哥,https://music.163.com/#/user/home?id=262807356
国风电音丨迷醉在朦胧诗华的江南中,738万,https://music.163.com/#/playlist?id=2321969053,音凛酱,https://music.163.com/#/user/home?id=1520598158
【精品古风】必备-伤感-古风-歌曲,734万,https://music.163.com/#/playlist?id=2512761478,慕色似温柔,https://music.163.com/#/user/home?id=377519446
古风歌单 浮生有梦三千场 穷尽千里诗酒荒 ,732万,https://music.163.com/#/playlist?id=7375242283,倦了诗姝,https://music.163.com/#/user/home?id=3868838433
国风新潮大赏 | 歌声岂合世间闻,729万,https://music.163.com/#/playlist?id=3001035934,蜜糖男孩,https://music.163.com/#/user/home?id=1650191296
一拜天地【戏腔】,718万,https://music.163.com/#/playlist?id=2070196235,有肉那种,https://music.163.com/#/user/home?id=278969271
国风戏腔 | 戏子演绎悲欢离合,691万,https://music.163.com/#/playlist?id=6880777536,张大佛爷张大佛爷,https://music.163.com/#/user/home?id=2034261933
【古风】那些好听又悲伤的古风歌曲,691万,https://music.163.com/#/playlist?id=3050239466,陌迟余,https://music.163.com/#/user/home?id=646946182
欧美·中国风 I 西方节奏里绮丽的东方乐韵,688万,https://music.163.com/#/playlist?id=365383154,Xenyc,https://music.163.com/#/user/home?id=85351650
一个你听不完的【古风】歌单,678万,https://music.163.com/#/playlist?id=6761996936,藏了很久很久,https://music.163.com/#/user/home?id=333588245
古风 | 写尽千山，落笔皆是你,665万,https://music.163.com/#/playlist?id=5461469407,虚空第一美少女,https://music.163.com/#/user/home?id=3960441675
『古风男声控』沉醉在你的温柔嗓音,640万,https://music.163.com/#/playlist?id=413661126,漓辞,https://music.163.com/#/user/home?id=110706964
『古风式浪漫』藏在歌词里的一纸情书,631万,https://music.163.com/#/playlist?id=2232929475,花色游戏,https://music.163.com/#/user/home?id=248755337
CCTV《国家宝藏》| 千年文脉，以正史观,623万,https://music.163.com/#/playlist?id=2001198978,店小二的小顾客,https://music.163.com/#/user/home?id=53073556
【古风治愈向】小桥流水畔，有烟火人家,617万,https://music.163.com/#/playlist?id=408539770,-Abysm-,https://music.163.com/#/user/home?id=98821129
古风｜倾许三秋梦，尽数负流光,613万,https://music.163.com/#/playlist?id=113447293,檩谨书,https://music.163.com/#/user/home?id=83233788
【精选古风】感受字里行间的古韵！,612万,https://music.163.com/#/playlist?id=5461560265,a丶安逸,https://music.163.com/#/user/home?id=1628490861
超级好听的古风歌单,596万,https://music.163.com/#/playlist?id=2334194858,七柚LJ,https://music.163.com/#/user/home?id=1531639820
国风堂系列(持续更新),594万,https://music.163.com/#/playlist?id=2875701447,黑星坠落_,https://music.163.com/#/user/home?id=412783514
『精选古风』 一曲一场叹，一曲为一人,582万,https://music.163.com/#/playlist?id=6685260980,小软溪,https://music.163.com/#/user/home?id=1418990258
古风｜超人气古风戏腔歌曲百首精选,581万,https://music.163.com/#/playlist?id=830246379,上岛小子c,https://music.163.com/#/user/home?id=479964647
「古风戏腔 古风」请君曲莫停，长醉不复醒,576万,https://music.163.com/#/playlist?id=5451944125,戒不掉的氟西汀-,https://music.163.com/#/user/home?id=1786229229
山有木兮卿有意【古风】,567万,https://music.163.com/#/playlist?id=2780631739,Hathaway_7,https://music.163.com/#/user/home?id=1566047746
「古风小甜歌」从此不写江南貌，只爱你窈窕,557万,https://music.163.com/#/playlist?id=2222627372,啤酒雪梨梨梨,https://music.163.com/#/user/home?id=1454625423
超燃|让人热血沸腾的古风战歌,555万,https://music.163.com/#/playlist?id=2427333920,一长安未安一,https://music.163.com/#/user/home?id=253074398
200首好听的古风音乐集全(阅古风，赏花月）,542万,https://music.163.com/#/playlist?id=2080907030,渡兮渡兮,https://music.163.com/#/user/home?id=1357299787
『古风』世上安得双全法，不负如来不负卿,542万,https://music.163.com/#/playlist?id=69015085,萌团爱喝冰阔落,https://music.163.com/#/user/home?id=57762677
「攻声集」群攻并起逐天下,536万,https://music.163.com/#/playlist?id=723814681,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
「古风」钢琴前奏，还你一个清凉静谧的夏天,534万,https://music.163.com/#/playlist?id=2221827668,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
古风词人‖他们以笔为传奇添色 为山河泼墨,532万,https://music.163.com/#/playlist?id=2081133164,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
【古风】山河拱手，为君一笑,530万,https://music.163.com/#/playlist?id=2001908144,星眸却年华,https://music.163.com/#/user/home?id=627465219
最美不过古风（女声）,529万,https://music.163.com/#/playlist?id=99805197,无心看风景_kygu,https://music.163.com/#/user/home?id=53075040
「高燃古(国)风」乱世封疆，谁与争王,523万,https://music.163.com/#/playlist?id=707094022,千藜Ciao,https://music.163.com/#/user/home?id=289759114
【一身诗意千寻瀑】歌名如诗行,519万,https://music.163.com/#/playlist?id=425866195,墨_安澜,https://music.163.com/#/user/home?id=29761590
［轻快古风］欢脱治愈下午茶～,516万,https://music.163.com/#/playlist?id=2094928066,笙笙不息xi,https://music.163.com/#/user/home?id=473864219
百听不厌~的华语伤感歌曲……,511万,https://music.163.com/#/playlist?id=925658031,习惯来自于要求,https://music.163.com/#/user/home?id=108782547
带戏腔歌曲超惊艳无法自拔,509万,https://music.163.com/#/playlist?id=1979428106,-殿前欢_,https://music.163.com/#/user/home?id=503246871
古风精选丨南风知我意 吹梦到西洲,506万,https://music.163.com/#/playlist?id=6699987043,角港,https://music.163.com/#/user/home?id=3875692946
〔激斗〕超燃古风,505万,https://music.163.com/#/playlist?id=2013219926,呱玛_WONE,https://music.163.com/#/user/home?id=376038459
清雅古风曲，缱绻戏腔味,504万,https://music.163.com/#/playlist?id=2875973652,看那海上月,https://music.163.com/#/user/home?id=333300072
民国旧忆｜氤氲木香犹未散 一缕远忆上心头,504万,https://music.163.com/#/playlist?id=705956847,迩ran,https://music.163.com/#/user/home?id=305275091
古风叙事｜古往今来多少事 皆随风雨醉心头,501万,https://music.163.com/#/playlist?id=2290797610,花色游戏,https://music.163.com/#/user/home?id=248755337
『古风』幸得识卿桃花面 自此阡陌多暖春,500万,https://music.163.com/#/playlist?id=2166551532,江湖濯濯,https://music.163.com/#/user/home?id=100198046
等什么君 要不要买菜 王巨星 en,494万,https://music.163.com/#/playlist?id=2559791412,望你眼中风起,https://music.163.com/#/user/home?id=1301586782
「古风与电子元素碰撞」,492万,https://music.163.com/#/playlist?id=632977126,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
古风向：那些超燃的古风歌曲,491万,https://music.163.com/#/playlist?id=832020902,帐号已注销,https://music.163.com/#/user/home?id=549037269
「古风」错身遇个你，穷尽诗家笔,488万,https://music.163.com/#/playlist?id=2118036706,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
中国诗词大会背景纯音乐,483万,https://music.163.com/#/playlist?id=451018423,荔枝五块榴莲贱卖,https://music.163.com/#/user/home?id=10010973
古风·江湖｜任我游戏任我笑 琴狂剑也傲,479万,https://music.163.com/#/playlist?id=2149031036,迩ran,https://music.163.com/#/user/home?id=305275091
[剑三]那些年感动你我的剑网三剧情歌,479万,https://music.163.com/#/playlist?id=67234232,luluuuuuu,https://music.163.com/#/user/home?id=61721769
宛如你眼中的月,474万,https://music.163.com/#/playlist?id=2050066993,莉莉娅来惹,https://music.163.com/#/user/home?id=1331372782
【好听到哭】· 纪录片背景音乐,472万,https://music.163.com/#/playlist?id=374961279,云寻BLUE,https://music.163.com/#/user/home?id=69795143
古风霸气妖娆女王攻音,468万,https://music.163.com/#/playlist?id=383160263,修道的檀香,https://music.163.com/#/user/home?id=79068728
精选 | 古风歌单,466万,https://music.163.com/#/playlist?id=5269293839,G寄予,https://music.163.com/#/user/home?id=1921458791
【古风燃曲欢乐向】古风高燃，纯度百分百,464万,https://music.163.com/#/playlist?id=705280747,折羽不离兮,https://music.163.com/#/user/home?id=293936724
风还会记得一朵花的香吗,460万,https://music.163.com/#/playlist?id=4978727365,为何不开心呢小冶,https://music.163.com/#/user/home?id=1870806944
悠悠国风 | 传世之音 不绝于耳,455万,https://music.163.com/#/playlist?id=6686195297,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
『古风纯音』轻柔若水 幽兰飘香,439万,https://music.163.com/#/playlist?id=564966607,最渣男友,https://music.163.com/#/user/home?id=333495786
〖古筝｜古琴〗歌曲纯音乐,432万,https://music.163.com/#/playlist?id=2321166950,浅唱七夕,https://music.163.com/#/user/home?id=307302426
『国风』我醉酒看南山，踏破世间天地寒,430万,https://music.163.com/#/playlist?id=3013188053,焦耳-定律,https://music.163.com/#/user/home?id=1777703285
『古风男声』我自是年少，韶华倾负,427万,https://music.163.com/#/playlist?id=390791322,漓辞,https://music.163.com/#/user/home?id=110706964
東方和風音楽集,424万,https://music.163.com/#/playlist?id=30142951,夜桜下的爱丽丝,https://music.163.com/#/user/home?id=33202011
『古风遇梦』听梦不愿醒 便随你风月无际,424万,https://music.163.com/#/playlist?id=2171419444,花色游戏,https://music.163.com/#/user/home?id=248755337
戏腔古风｜好听的古风国风歌曲,423万,https://music.163.com/#/playlist?id=7066102077,西柚YiFi,https://music.163.com/#/user/home?id=2006752418
『踏歌长行』仙剑＆古剑音乐分类排名盘点,420万,https://music.163.com/#/playlist?id=88193751,此在之欢愉,https://music.163.com/#/user/home?id=6190643
【China国风电音II】之二胡与笛子的双重奏,417万,https://music.163.com/#/playlist?id=2167792027,MeCHJ,https://music.163.com/#/user/home?id=442757810
古风+戏腔=锦上添花,416万,https://music.163.com/#/playlist?id=3219310524,只为君沉吟,https://music.163.com/#/user/home?id=613463483
国风|醉后不知天在水，满船清梦压星河,412万,https://music.163.com/#/playlist?id=2737296316,茉瑾年,https://music.163.com/#/user/home?id=1511042199
【戏腔古风】听了忘不掉的旋律( ｰ̀εｰ́ ),408万,https://music.163.com/#/playlist?id=2102707853,怀归丶,https://music.163.com/#/user/home?id=567533703
『古风戏腔』 红尘如戏 最是人间芳华留不住,407万,https://music.163.com/#/playlist?id=2012414644,都门帐饮醉,https://music.163.com/#/user/home?id=332697248
「古风」听歌解暑，慵懒度夏,406万,https://music.163.com/#/playlist?id=717893031,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
「Chinese纯音」一袭烟雨满梦江南,399万,https://music.163.com/#/playlist?id=801517487,一只林轩,https://music.163.com/#/user/home?id=413821890
「古风向」四季流转 惟望与君相伴,397万,https://music.163.com/#/playlist?id=2283481747,呓语不鲸人,https://music.163.com/#/user/home?id=1484260843
古风电音||茶已凉人偏不走 只盼与你看花开,389万,https://music.163.com/#/playlist?id=2099843212,林知汐,https://music.163.com/#/user/home?id=490576753
盗墓笔记』西湖莲子熟，长白雪如烧,387万,https://music.163.com/#/playlist?id=42239298,竹岫,https://music.163.com/#/user/home?id=34844243
二十四节气歌---音阙诗听（全）,387万,https://music.163.com/#/playlist?id=2955539820,serafina--smile,https://music.163.com/#/user/home?id=593489918
【古韵】独坐空山里，恍若隔世曲,386万,https://music.163.com/#/playlist?id=110516885,Double7琦,https://music.163.com/#/user/home?id=60348755
魔道祖师｜忘羡一曲远 曲终人不散,384万,https://music.163.com/#/playlist?id=2018125304,咬口奶油,https://music.163.com/#/user/home?id=384373317
「古风」歌暖如茶，满城花开,382万,https://music.163.com/#/playlist?id=2057752377,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
从此春秋两不沾 风月不相关,379万,https://music.163.com/#/playlist?id=993755655,跨过凌晨,https://music.163.com/#/user/home?id=60689372
「声控福利」让人耳朵怀孕的剧情歌,373万,https://music.163.com/#/playlist?id=645895203,2次元墩墩酱,https://music.163.com/#/user/home?id=355943787
【古风致郁向】浮生一场梦，人间几度秋,372万,https://music.163.com/#/playlist?id=422120471,-Abysm-,https://music.163.com/#/user/home?id=98821129
