playlist_name,playlist_contributing_factor,estimated_play_count
✧ 适合看星星时听的歌 :）,6133,494
钢琴曲（安静、流行、读书、安眠),5822,469
解压 助眠 雨声 「睡觉专用」,2425,195
清听治愈系纯音乐（高效刷题）,1261,102
霍格沃茨自习室,1205,97
轻音乐｜聆听心韵 心之所向 便是阳光,1087,88
放空思绪 | 坠入钢琴海洋 安静舒缓无法自拔,663,53
『海风味的纯音乐』微雨过，小荷翻,653,53
舒缓安静 | 要把节奏放慢 生活是 爱也是,568,46
听起来很舒服的【纯音乐】放松心情必备,560,45
懂你的（纯音乐）,404,33
极简主义 | 氛围纯音钢琴曲好听的到哭,369,30
极静氛围｜宁静的生活状态真的让人倍感舒适,0,0
