playlist_name,playlist_contributing_factor,estimated_play_count
刷题背书轻音乐（致正在努力的你）,12127,134
［学霸专用］工作看书刷题写作业纯音乐,1262,14
写作业必备歌单（清新，醒脑，静心）,1017,11
纯音乐|学习工作放松安静减压,1010,11
时间之外的往事-静心向「睡前/学习」,655,7
