playlist_name,song_ranking,trackcount,playcount,playlist_heat
『纯音乐』深夜/助眠/轻缓,660,738,34640,22.0
缓解焦虑/午睡/学习/中高考/催眠曲/文理科,91,200,5166356,3544.0
【适合看书或睡觉前或失眠】收藏纯音乐,176,451,12397,42.0
【适合看书或睡觉前或失眠】收藏纯音乐,99,387,17756226,10289.0
时间之外的往事-静心向「睡前/学习」,429,667,1153685,658.0
沉溺，窒息之美纯音乐钢琴曲。,24,154,642593,290.0
静心学习「钢琴曲」,156,290,1457485,959.0
『纯音』夜晚独享安宁,129,395,936199,585.0
【刷题】适合在写作业时听的音乐.,53,460,6441,5.0
