playlist_name,song_ranking,trackcount,playcount,playlist_heat
纯音乐|学习工作放松安静减压,192,267,3260791,3595.0
［学霸专用］工作看书刷题写作业纯音乐,211,854,3281482,1676.0
写作业必备歌单（清新，醒脑，静心）,579,866,4578888,3069.0
时间之外的往事-静心向「睡前/学习」,3,667,1153685,658.0
刷题背书轻音乐（致正在努力的你）,226,443,47007372,24757.0
