playlist_name,song_ranking,trackcount,playcount,playlist_heat
『纯音乐』深夜/助眠/轻缓,82,738,34640,22.0
「学习轻音乐」邂逅书海 静心独处,6,29,47290,138.0
【治愈系纯音】你值得被世界温柔以待,31,62,12180,19.0
纯音丨遇见你那天，樱花开满南山,46,49,58744,664.0
适合练字时听的纯音乐,32,108,31561,19.0
♥ 睡眠进阶丨深度睡眠，享受睡觉的乐趣,180,947,2161305,2570.0
钢琴&轻音乐丨黑白键下的温柔,33,46,48075,654.0
轻音｜祝你好梦 陌生人,61,309,7966,7.0
